n,average time
10.0, 140990.0
110.0, 122030.0
210.0, 123210.0
310.0, 104740.0
410.0, 36960.0
510.0, 39470.0
610.0, 35890.0
710.0, 33760.0
810.0, 34720.0
910.0, 33710.0
1010.0, 35490.0
1110.0, 53210.0
1210.0, 33200.0
1310.0, 46860.0
1410.0, 45000.0
1510.0, 46250.0
1610.0, 27700.0
1710.0, 26040.0
1810.0, 31210.0
1910.0, 42770.0
2010.0, 34310.0
2110.0, 45900.0
2210.0, 33150.0
2310.0, 16870.0
2410.0, 16510.0
2510.0, 33130.0
2610.0, 37760.0
2710.0, 41610.0
2810.0, 53670.0
2910.0, 30650.0
3010.0, 44770.0
3110.0, 81850.0
3210.0, 51960.0
3310.0, 48130.0
3410.0, 39360.0
3510.0, 20870.0
3610.0, 21130.0
3710.0, 8820.0
3810.0, 7740.0
3910.0, 8460.0
4010.0, 24010.0
4110.0, 24220.0
4210.0, 14490.0
4310.0, 23780.0
4410.0, 24440.0
4510.0, 22520.0
4610.0, 15940.0
4710.0, 15570.0
4810.0, 15700.0
4910.0, 11080.0
5010.0, 11040.0
5110.0, 14190.0
5210.0, 13370.0
5310.0, 14100.0
5410.0, 17350.0
5510.0, 12290.0
5610.0, 10900.0
5710.0, 12750.0
5810.0, 11920.0
5910.0, 13990.0
6010.0, 16240.0
6110.0, 8150.0
6210.0, 9010.0
6310.0, 8720.0
6410.0, 7790.0
6510.0, 13520.0
6610.0, 9030.0
6710.0, 10310.0
6810.0, 11200.0
6910.0, 15810.0
7010.0, 13940.0
7110.0, 13030.0
7210.0, 15800.0
7310.0, 13870.0
7410.0, 20170.0
7510.0, 14370.0
7610.0, 24380.0
7710.0, 21210.0
7810.0, 21400.0
7910.0, 22760.0
8010.0, 21310.0
8110.0, 22440.0
8210.0, 22580.0
8310.0, 25510.0
8410.0, 22370.0
8510.0, 17440.0
8610.0, 25860.0
8710.0, 26010.0
8810.0, 31980.0
8910.0, 14740.0
9010.0, 16880.0
9110.0, 14200.0
9210.0, 15180.0
9310.0, 10690.0
9410.0, 9690.0
9510.0, 9640.0
9610.0, 9620.0
9710.0, 8840.0
9810.0, 10040.0
9910.0, 9800.0
